,um,reflectance,uncertainty
293,2.1675,0.004094,7.1e-05
294,2.1725,0.004105,8.8e-05
295,2.1775,0.00416,0.000133
296,2.1825,0.004182,0.000131
297,2.1875,0.004205,0.000123
298,2.1925,0.004196,0.000134
299,2.1975,0.00415,0.000129
300,2.2025,0.004125,0.000113
301,2.2075,0.004176,9.6e-05
302,2.2125,0.004239,9e-05
303,2.2175,0.004255,8.5e-05
304,2.2225,0.004242,0.000107
305,2.2275,0.004227,0.000116
306,2.2325,0.00416,0.000107
307,2.2375,0.004175,0.000128
308,2.2425,0.004188,0.000131
309,2.2475,0.004159,0.00013
310,2.2525,0.004152,9.9e-05
311,2.2575,0.004163,8.4e-05
312,2.2625,0.004199,0.000103
313,2.2675,0.004279,5.1e-05
314,2.2725,0.004253,7e-05
315,2.2775,0.004191,0.000127
316,2.2825,0.004198,8.1e-05
317,2.2875,0.004203,8.2e-05
318,2.2925,0.004185,7.9e-05
319,2.2975,0.004203,0.000109
320,2.3025,0.004225,0.00015
321,2.3075,0.004226,0.00014
322,2.3125,0.004199,0.000138
323,2.3175,0.004161,0.000105
324,2.3225,0.004197,0.000141
325,2.3275,0.004161,0.000138
326,2.3325,0.004142,6.9e-05
327,2.3375,0.004151,7.6e-05
328,2.3425,0.004158,0.000123
329,2.3475,0.004098,7.6e-05
330,2.3525,0.004146,7.6e-05
331,2.3575,0.004195,7.6e-05
332,2.3625,0.004243,4.8e-05
333,2.3675,0.004249,6.3e-05
334,2.3725,0.004228,8.8e-05
335,2.3775,0.00421,0.000127
336,2.3825,0.004176,0.000121
337,2.3875,0.004199,0.000137
338,2.3925,0.004219,0.000151
339,2.3975,0.004219,0.000151
340,2.4025,0.004218,0.000151
341,2.4075,0.004218,0.000151
342,2.4125,0.004217,0.000151
343,2.4175,0.004217,0.000151
344,2.4225,0.004216,0.000184
345,2.4275,0.004245,0.000149
346,2.4325,0.004252,0.000166
347,2.4375,0.004293,0.000157
348,2.4425,0.004246,0.000138
349,2.4475,0.004169,0.000141
350,2.4525,0.004188,0.000105
351,2.4575,0.004137,0.000106
352,2.4625,0.004088,5e-05
353,2.4675,0.004104,4.1e-05
354,2.4725,0.004049,3.4e-05
355,2.4775,0.004047,0.0001
356,2.4825,0.00399,5.7e-05
357,2.4875,0.004079,0.000104
358,2.4925,0.004135,0.00011
359,2.4975,0.004146,7.7e-05
360,2.5025,0.004122,6.8e-05
361,2.5075,0.004157,8.3e-05
362,2.5125,0.004158,4.3e-05
363,2.5175,0.004165,4.8e-05
364,2.5225,0.004127,0.000101
365,2.5275,0.004137,0.00013
366,2.5325,0.004161,0.000177
367,2.5375,0.004144,0.000153
368,2.5425,0.004188,0.000128
369,2.5475,0.004142,0.000104
370,2.5525,0.004085,9.5e-05
371,2.5575,0.004031,4.9e-05
372,2.5625,0.004032,2.9e-05
373,2.5675,0.004058,7.1e-05
374,2.5725,0.004121,0.000101
375,2.5775,0.004055,0.000139
376,2.5825,0.00403,3.4e-05
377,2.5875,0.004026,3.8e-05
378,2.5925,0.00403,4.3e-05
379,2.5975,0.004031,4.2e-05
