,um,reflectance,uncertainty
275,2.0775,0.004318,0.000227
276,2.0825,0.004371,0.000235
277,2.0875,0.004393,0.000198
278,2.0925,0.00447,0.000153
279,2.0975,0.00454,0.000108
280,2.1025,0.004524,0.000131
281,2.1075,0.004523,0.000117
282,2.1125,0.00451,0.000149
283,2.1175,0.004548,0.000129
284,2.1225,0.004645,9.3e-05
285,2.1275,0.004707,9e-05
286,2.1325,0.004674,0.000148
287,2.1375,0.004756,0.000116
288,2.1425,0.004767,0.000126
289,2.1475,0.004744,0.000155
290,2.1525,0.004799,0.000145
291,2.1575,0.004792,0.000125
292,2.1625,0.004695,0.000168
293,2.1675,0.004685,0.000174
294,2.1725,0.004667,0.000183
295,2.1775,0.0046,0.000228
296,2.1825,0.004672,0.000233
297,2.1875,0.004678,0.000231
298,2.1925,0.004683,0.000215
299,2.1975,0.004654,0.000169
300,2.2025,0.004646,0.000174
301,2.2075,0.004612,0.000252
302,2.2125,0.004586,0.000267
303,2.2175,0.004582,0.000315
304,2.2225,0.00463,0.000258
305,2.2275,0.004663,0.000156
306,2.2325,0.004576,0.000168
307,2.2375,0.004583,0.000137
308,2.2425,0.004551,0.000182
309,2.2475,0.004411,0.000318
310,2.2525,0.004263,0.000372
311,2.2575,0.004249,0.000361
312,2.2625,0.004222,0.000182
313,2.2675,0.004056,0.000205
314,2.2725,0.004047,0.000229
315,2.2775,0.004043,0.000274
316,2.2825,0.004002,0.00025
317,2.2875,0.004092,0.000219
318,2.2925,0.0041,0.000194
319,2.2975,0.004114,0.000186
320,2.3025,0.004152,0.000257
321,2.3075,0.004177,0.000268
322,2.3125,0.004165,0.000206
323,2.3175,0.004178,0.000164
324,2.3225,0.004231,0.000112
325,2.3275,0.004253,7e-05
326,2.3325,0.004232,0.000131
327,2.3375,0.004209,0.000182
328,2.3425,0.004224,0.000293
329,2.3475,0.004291,0.000312
330,2.3525,0.004344,0.000283
331,2.3575,0.004303,0.000357
332,2.3625,0.004321,0.000352
333,2.3675,0.00429,0.000452
334,2.3725,0.0043,0.000488
335,2.3775,0.004315,0.00048
336,2.3825,0.004311,0.000329
337,2.3875,0.004301,0.000318
338,2.3925,0.004298,0.000273
339,2.3975,0.004339,0.000256
340,2.4025,0.004321,0.00026
341,2.4075,0.004338,0.000247
342,2.4125,0.004229,0.000354
343,2.4175,0.004311,0.000359
344,2.4225,0.004353,0.000282
345,2.4275,0.004014,0.000343
346,2.4325,0.004304,0.00028
347,2.4375,0.00426,0.000308
348,2.4425,0.004039,0.000315
349,2.4475,0.004091,0.000305
350,2.4525,0.004151,0.000255
351,2.4575,0.004088,0.000237
352,2.4625,0.004065,0.00023
353,2.4675,0.004025,0.000261
354,2.4725,0.004031,0.000213
355,2.4775,0.003936,0.000226
356,2.4825,0.004004,0.000237
357,2.4875,0.004024,0.000299
358,2.4925,0.004039,0.000277
359,2.4975,0.004079,0.000269
360,2.5025,0.004062,0.000234
361,2.5075,0.003953,0.00031
362,2.5125,0.003952,0.000344
363,2.5175,0.004001,0.000302
364,2.5225,0.004166,0.000231
365,2.5275,0.004202,0.00024
366,2.5325,0.004131,0.000238
367,2.5375,0.004016,0.000291
368,2.5425,0.004013,0.0003
369,2.5475,0.004082,0.000272
370,2.5525,0.004149,0.000323
371,2.5575,0.004118,0.000319
372,2.5625,0.004135,0.000333
373,2.5675,0.004227,0.000293
374,2.5725,0.004284,0.000255
375,2.5775,0.004312,0.000238
376,2.5825,0.004262,0.00021
377,2.5875,0.004274,0.000206
378,2.5925,0.004258,0.000231
379,2.5975,0.004343,0.000254
380,2.6025,0.004422,0.000212
381,2.6075,0.004461,0.000216
382,2.6125,0.004388,0.000232
383,2.6175,0.004329,0.000282
384,2.6225,0.003879,0.000529
385,2.6275,0.003757,0.000947
386,2.6325,0.00378,0.000905
387,2.6375,0.004143,0.00056
388,2.6425,0.004221,0.000485
389,2.6475,0.004282,0.000393
390,2.6525,0.004161,0.000488
391,2.6575,0.004104,0.000453
392,2.6625,0.004046,0.000529
393,2.6675,0.004035,0.000423
394,2.6725,0.003988,0.000376
395,2.6775,0.003928,0.000234
396,2.6825,0.003664,0.000328
397,2.6875,0.003563,0.000276
398,2.6925,0.003507,0.000335
399,2.6975,0.003159,0.000295
400,2.7025,0.003045,0.000223
401,2.7075,0.003063,0.00021
402,2.7125,0.003144,0.000207
403,2.7175,0.00306,0.000274
404,2.7225,0.003039,0.000277
405,2.7275,0.002961,0.000247
406,2.7325,0.002945,0.000266
407,2.7375,0.002802,0.000314
408,2.7425,0.002606,0.000187
409,2.7475,0.002561,0.000136
410,2.7525,0.002404,0.000235
411,2.7575,0.002199,0.000128
412,2.7625,0.002176,0.000103
413,2.7675,0.001943,0.000198
414,2.7725,0.00178,0.000151
415,2.7775,0.001701,0.000163
416,2.7825,0.00149,0.000142
417,2.7875,0.001429,0.000117
418,2.7925,0.001316,0.000169
419,2.7975,0.001055,0.000104
420,2.8025,0.001015,0.000166
421,2.8075,0.000896,0.000107
422,2.8125,0.000775,7.7e-05
423,2.8175,0.0007,0.000117
424,2.8225,0.000648,7.1e-05
425,2.8275,0.000552,6.7e-05
426,2.8325,0.000504,5.4e-05
427,2.8375,0.00041,5.3e-05
428,2.8425,0.000368,5.7e-05
429,2.8475,0.000322,9.7e-05
430,2.8525,0.000255,5.3e-05
431,2.8575,0.00023,7e-05
432,2.8625,0.000233,4.8e-05
433,2.8675,0.000201,2e-06
434,2.8725,0.000168,1.3e-05
435,2.8775,0.00016,1.4e-05
436,2.8825,0.000132,3.8e-05
437,2.8875,0.00012,3.1e-05
438,2.8925,0.00011,2.4e-05
439,2.8975,0.000106,3e-06
440,2.9025,0.000134,7e-06
441,2.9075,0.000113,1.1e-05
442,2.9125,0.000105,3.2e-05
443,2.9175,9.2e-05,4.6e-05
444,2.9225,9.2e-05,4.9e-05
445,2.9275,7.5e-05,3.7e-05
446,2.9325,6.7e-05,1.4e-05
447,2.9375,0.0001,4e-06
448,2.9425,0.000107,3.6e-05
449,2.9475,0.000142,4.4e-05
450,2.9525,0.00013,6.7e-05
451,2.9575,0.000105,6.5e-05
452,2.9625,8e-05,5.5e-05
453,2.9675,6.6e-05,4e-05
454,2.9725,5.9e-05,2.9e-05
455,2.9775,8.3e-05,5e-05
456,2.9825,0.000127,8.8e-05
457,2.9875,0.000137,9.2e-05
458,2.9925,9e-05,7.4e-05
459,2.9975,8.2e-05,6.4e-05
460,3.0025,6.9e-05,4.4e-05
461,3.0075,0.0001,4.8e-05
462,3.0125,0.000104,3.7e-05
463,3.0175,9.8e-05,2.7e-05
464,3.0225,8.8e-05,5e-05
465,3.0275,7e-05,2.8e-05
466,3.0325,9.3e-05,5.5e-05
467,3.0375,0.000105,5.6e-05
468,3.0425,0.000136,3e-06
469,3.0475,0.000231,3.3e-05
470,3.0525,0.000159,5.9e-05
471,3.0575,0.000251,8e-05
472,3.0625,0.000254,5.6e-05
473,3.0675,0.000166,4.1e-05
474,3.0725,6.2e-05,3.4e-05
475,3.0775,5.6e-05,3e-05
476,3.0825,6.2e-05,3.4e-05
477,3.0875,0.000105,3.8e-05
478,3.0925,5.7e-05,3e-05
479,3.0975,0.0001,7e-05
480,3.1025,3.2e-05,5.1e-05
481,3.1075,3.5e-05,2.1e-05
482,3.1125,9.7e-05,4.1e-05
483,3.1175,0.000149,9.4e-05
484,3.1225,0.000192,8e-05
485,3.1275,0.000148,5.7e-05
486,3.1325,0.00019,3.2e-05
487,3.1375,0.000188,5.3e-05
488,3.1425,0.000118,5.5e-05
489,3.1475,9.4e-05,2.5e-05
490,3.1525,0.000107,5.7e-05
