,um,reflectance,uncertainty
283,2.1175,0.005778,7.7e-05
284,2.1225,0.00577,9.4e-05
285,2.1275,0.005841,0.000187
286,2.1325,0.005785,0.000142
287,2.1375,0.005811,7.8e-05
288,2.1425,0.005807,6.5e-05
289,2.1475,0.005877,0.000123
290,2.1525,0.005934,0.000141
291,2.1575,0.005913,9.6e-05
292,2.1625,0.005891,0.000134
293,2.1675,0.005916,0.000162
294,2.1725,0.005951,0.000167
295,2.1775,0.005921,8.1e-05
296,2.1825,0.00596,7.2e-05
297,2.1875,0.00601,8.9e-05
298,2.1925,0.006021,9.9e-05
299,2.1975,0.006003,7.1e-05
300,2.2025,0.00601,6.5e-05
301,2.2075,0.006021,8.2e-05
302,2.2125,0.005947,9.3e-05
303,2.2175,0.005963,0.000146
304,2.2225,0.005975,0.000164
305,2.2275,0.006011,0.000133
306,2.2325,0.00605,0.000111
307,2.2375,0.006039,0.000109
308,2.2425,0.00603,0.000133
309,2.2475,0.005933,7.9e-05
310,2.2525,0.006003,6.1e-05
311,2.2575,0.006024,5.4e-05
312,2.2625,0.00601,4.9e-05
313,2.2675,0.005988,0.000125
314,2.2725,0.006024,8.5e-05
315,2.2775,0.00605,5.4e-05
316,2.2825,0.006073,5.8e-05
317,2.2875,0.006066,8e-05
318,2.2925,0.006062,6.9e-05
319,2.2975,0.006103,8e-05
320,2.3025,0.00607,7.9e-05
321,2.3075,0.006062,0.000124
322,2.3125,0.006024,9.1e-05
323,2.3175,0.006049,0.000127
324,2.3225,0.006126,8.9e-05
325,2.3275,0.00606,0.000115
326,2.3325,0.005983,8.6e-05
327,2.3375,0.005974,7.7e-05
328,2.3425,0.005952,7.1e-05
329,2.3475,0.006061,0.000147
330,2.3525,0.006096,0.000162
331,2.3575,0.006112,8.3e-05
332,2.3625,0.006077,0.000102
333,2.3675,0.006109,8.3e-05
334,2.3725,0.005922,0.000116
335,2.3775,0.006033,0.000134
336,2.3825,0.006011,0.000117
337,2.3875,0.006066,0.000121
338,2.3925,0.006016,0.000107
339,2.3975,0.005978,0.000104
340,2.4025,0.006007,0.000106
341,2.4075,0.006045,7.1e-05
342,2.4125,0.006013,8.5e-05
343,2.4175,0.006009,0.000109
344,2.4225,0.005927,0.000128
345,2.4275,0.005919,7.4e-05
346,2.4325,0.005973,0.000101
347,2.4375,0.006003,8.2e-05
348,2.4425,0.006026,6.6e-05
349,2.4475,0.0061,0.000143
350,2.4525,0.006054,0.000145
351,2.4575,0.00598,0.000219
352,2.4625,0.005881,0.000217
353,2.4675,0.005901,0.000164
354,2.4725,0.00606,5.5e-05
355,2.4775,0.006049,6.5e-05
356,2.4825,0.006049,4.3e-05
357,2.4875,0.006071,4e-05
358,2.4925,0.005998,0.000222
359,2.4975,0.006069,0.000245
360,2.5025,0.006015,0.000231
361,2.5075,0.005968,0.000148
362,2.5125,0.006096,4.6e-05
363,2.5175,0.006109,4e-05
364,2.5225,0.006129,5.3e-05
365,2.5275,0.006182,0.000161
366,2.5325,0.006069,0.000167
367,2.5375,0.005976,0.000202
368,2.5425,0.005915,0.000103
369,2.5475,0.005791,8.7e-05
370,2.5525,0.005851,0.000123
371,2.5575,0.005682,0.000189
372,2.5625,0.005829,7.2e-05
373,2.5675,0.006019,0.000121
374,2.5725,0.006068,7.3e-05
375,2.5775,0.006109,0.000131
376,2.5825,0.006083,0.000155
377,2.5875,0.005887,7.3e-05
378,2.5925,0.006127,0.000122
379,2.5975,0.006043,9.3e-05
380,2.6025,0.006063,0.000134
381,2.6075,0.005966,0.000106
382,2.6125,0.005913,0.000107
383,2.6175,0.006072,8.1e-05
384,2.6225,0.006094,0.00011
385,2.6275,0.006051,0.000173
386,2.6325,0.006007,0.00014
387,2.6375,0.005989,0.0001
388,2.6425,0.005994,0.00013
389,2.6475,0.006003,0.00011
390,2.6525,0.005974,6.3e-05
391,2.6575,0.006059,9.4e-05
392,2.6625,0.005967,3e-05
393,2.6675,0.00589,8.2e-05
394,2.6725,0.005827,4.9e-05
395,2.6775,0.005761,6.2e-05
396,2.6825,0.005727,0.000145
397,2.6875,0.005816,0.000101
398,2.6925,0.005852,0.000121
399,2.6975,0.005845,6.6e-05
400,2.7025,0.005707,6.9e-05
401,2.7075,0.005604,5.5e-05
402,2.7125,0.005625,4e-05
403,2.7175,0.005568,0.000133
404,2.7225,0.005511,7.7e-05
405,2.7275,0.005428,0.000136
406,2.7325,0.005354,9.3e-05
407,2.7375,0.005201,3.6e-05
408,2.7425,0.005234,5.2e-05
409,2.7475,0.005254,6.8e-05
410,2.7525,0.005291,0.000129
411,2.7575,0.00526,9.1e-05
412,2.7625,0.005175,4.5e-05
413,2.7675,0.005104,5.1e-05
414,2.7725,0.005107,6.7e-05
415,2.7775,0.004995,9.4e-05
416,2.7825,0.004833,0.000202
417,2.7875,0.004701,7.7e-05
418,2.7925,0.004476,0.000139
419,2.7975,0.004458,0.000118
420,2.8025,0.004332,3.7e-05
421,2.8075,0.004209,5.4e-05
422,2.8125,0.004181,9.8e-05
423,2.8175,0.004122,7.2e-05
424,2.8225,0.003869,0.000145
425,2.8275,0.003893,0.000152
426,2.8325,0.003852,9.2e-05
427,2.8375,0.00385,6.4e-05
428,2.8425,0.003761,7e-05
429,2.8475,0.003636,3.2e-05
430,2.8525,0.003566,6.7e-05
431,2.8575,0.003584,9.6e-05
432,2.8625,0.003617,0.000123
433,2.8675,0.003609,0.00012
434,2.8725,0.003455,0.00012
435,2.8775,0.003387,0.000114
436,2.8825,0.003479,4.5e-05
437,2.8875,0.003454,4.7e-05
438,2.8925,0.003413,7.9e-05
439,2.8975,0.003364,7.3e-05
440,2.9025,0.003346,5e-05
441,2.9075,0.003357,0.000103
442,2.9125,0.00331,9e-05
443,2.9175,0.003235,0.000172
444,2.9225,0.003126,0.000101
445,2.9275,0.003056,9.1e-05
446,2.9325,0.002886,2e-05
447,2.9375,0.00285,4.7e-05
448,2.9425,0.002842,0.000105
449,2.9475,0.002907,0.00015
450,2.9525,0.002958,8.5e-05
451,2.9575,0.002941,7.6e-05
452,2.9625,0.002922,9e-05
453,2.9675,0.002811,9.1e-05
454,2.9725,0.002731,8.7e-05
455,2.9775,0.002713,4.1e-05
456,2.9825,0.002641,1.1e-05
457,2.9875,0.002741,0.000134
458,2.9925,0.002761,0.000121
459,2.9975,0.002761,0.000163
460,3.0025,0.002708,0.000113
461,3.0075,0.002654,6.8e-05
462,3.0125,0.002693,9e-05
463,3.0175,0.002707,6.6e-05
464,3.0225,0.002689,0.0002
465,3.0275,0.002622,0.000189
466,3.0325,0.002638,7.7e-05
467,3.0375,0.002731,3.8e-05
468,3.0425,0.002862,7.2e-05
